source,page,year_of_occurrence,village_in_source,village,latitude,longitude,spontaneous/ formullaic,mari,translation_Russian,translation_German,translation_Latin,mari_marker,copula / retrospective marker,use,modal / non-modal,complement,semantics,modality type (vAP),modality type (descriptive categories),negation,question (true question),overt subject (who needs/ has to/ can),case of overt subject (who needs/ has to/ can),animacy,counted in corpus,counted in subcorpus,(im)personality
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"jesl'i vesə̈ madaš tə̈ngäleš , to ti kons'ervə̈ ätə̈žə̈m ti kl'etkä gač šə̈käl koltə̑šašlə̑k ə̑leš jalžə̑ dono , dä tə̈škə̈ jalžə̑ popazə̑šašlə̑k agə̑l .","Если другой начинает играть, то эту консервную посудину через эту клетку проталкивать должен ногой, и его нога не должна
туда попадать.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),1,no,yes,nom,inan,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,edemə̈m čučeš - značit tə̈ edem ti ploš'adkə̑ gə̈c karangšašlə̑k ə̑leš ,"Попадет в человека - значит, тот человек с этой площадки должен уйти.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous," a ves edemžə̈ tidə̈m pälə̈šäšlə̑k ə̑leš , kün dono tidə̈ madə̑š.","А другой человек это должен узнать, у кого эта игрушка.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"jesl'i ak pälə̈ gə̈n', to tamam ə̈štə̈šäšlə̑k , tamaxan' il'i mə̑ren pušašlə̑k , il'i kušten pušašlə̑k ","Если не узнает, то что-то должен сделать, какое-нибудь или должен спеть, или должен сплясать.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"jesl'i ak pälə̈ gə̈n' , to tamam ə̈štə̈šäšlə̑k , tamaxan' il'i mə̑ren pušašlə̑k , il'i kušten pušašlə̑k ","Если не узнает, то что-то должен сделать, какое-нибудь или должен спеть, или должен сплясать.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"jesl'i ak pälə̈ gə̈n' , to tamam ə̈štə̈šäšlə̑k , tamaxan' il'i mə̑ren pušašlə̑k , il'i kušten pušašlə̑k ","Если не узнает, то что-то должен сделать, какое-нибудь или должен спеть, или должен сплясать.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kə̑də̑žə̑ ak čuč - iktə̈t ak čuč , vesə̈ ak čuč , kə̑nam čučat - tə̈näm kə̑rgə̑ž keäš jažo, poka tə̈də̈ jə̑dal don orolə̑šə̑ tə̈ pə̑t'ungažə̑m nälšäšlə̑k ə̑leš dä värə̈škə̈žə̈ šə̈ndə̈šäšlə̑k ə̑leš kl'etkäškə̈ , texen'","Кто-то не попадет, один не попадет, другой не попадет, когда попадут - тогда бежать хорошо, пока с этим лаптем охранник эту петюнгу должен взять и на место должен поставить в клетку [начерченный квадрат], такую.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kə̑də̑žə̑ ak čuč - iktə̈t ak čuč , vesə̈ ak čuč , kə̑nam čučat - tə̈näm kə̑rgə̑ž keäš jažo , poka tə̈də̈ jə̑dal don orolə̑šə̑ tə̈ pə̑t'ungažə̑m nälšäšlə̑k ə̑leš dä värə̈škə̈žə̈ šə̈ndə̈šäšlə̑k ə̑leš kl'etkäškə̈ , texen'","Кто-то не попадет, один не попадет, другой не попадет, когда попадут - тогда бежать хорошо, пока с этим лаптем охранник эту петюнгу должен взять и на место должен поставить в клетку [начерченный квадрат], такую.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"tə̈ čižikə̈m vozduxə̑štə̑ sevälšäšlə̑k ə̑lə̑t , poka .","Этот чижик в воздухе они должны отбить, пока [летит].",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"n'e , a , l'in'im kə̑rgə̑ž vanžə̑šašlə̑k ə̑lə̑t","Не, а, должны перебежать за линию.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"mä lüdə̈nnä , piš kogon küš kuzen kemə̈lä ut'ikä .","Мы боялись, очень высоко должны подняться качели.",NA,NA,mə̑la,,predicate,modal,V,possibility,external,potential,0,no,yes,nom,inan,not counted,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"jə̑dal nə̈nə̈ il'i kə̑čə̑šašlə̑k ə̑lə̑t , iktä , iktäšt , il'i jə̑dal ken vacmə̑kə̑ , jə̑dal ken vacmə̑ mestä gə̈cə̈n ves komandə̑ vaštareš tože ik edem šušašlə̑k ə̑leš ","Лапоть они или поймать должны, кто-нибудь из них, или, когда лапоть упадет, с места, куда упал лапоть, навстречу другой команде тоже один человек должен кидать.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"jə̑dal nə̈nə̈ il'i kə̑čə̑šašlə̑k ə̑lə̑t , iktä , iktäšt , il'i jə̑dal ken vacmə̑kə̑ , jə̑dal ken vacmə̑ mestä gə̈cə̈n ves komandə̑ vaštareš tože ik edem šušašlə̑k ə̑leš ","Лапоть они или поймать должны, кто-нибудь из них, или, когда лапоть упадет, с места, куда упал лапоть, навстречу другой команде тоже один человек должен кидать.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,i tenge kə̈škə̈lt-kə̈škə̈lt vaštareš-vaštareš kə̈škə̈lt-kə̈škə̈lt opr'ed'el'onnə̑j čerta jakte šošašlə̑k ə̑lə̑t ,"И так кидая-кидая, навстречу-навстречу кидая-кидая до черты должны добраться.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,šə̈lə̈n šə̈nzə̈t – tə̈ orolšə̑ ti edemvläm mošašlə̑k ə̑leš ciläm,Спрячутся – этот сторож этих людей должен найти всех.,NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"projekt semə̈n' teve ti štr'ixujə̑m värvläm cišti potopə̑šašlə̑k ə̑lə̑n , jesl'i čeboksarsk'ij gesə̈n urov'en'žə̈m kudlu kändäkššə̈ otm'etkə̈ jakte lüktälə̈t ə̑l'ə̑ .","По проекту вот эти заштрихованные места все должны были быть затоплены, если бы уровень Чебоксарской ГЭС подняли до 68-й отметки.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,counter_plan,0,no,no,no,inan,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kü , maxan' traktor'ist maxan' päšäm rovotajə̑šašlə̑k , maxan' br'igadə̑ mam rovotajə̑šašlə̑k , cilä tə̈də̈m rad'iouz'el gač popenə̈t ","Кто, какой тракторист какую работу должен делать, какая бригада, что должна делать, всё это сообщали через радиоузел.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kü , maxan' traktor'ist maxan' päšäm rovotajə̑šašlə̑k , maxan' br'igadə̑ mam rovotajə̑šašlə̑k , cilä tə̈də̈m rad'iouz'el gač popenə̈t ","Кто, какой тракторист какую работу должен делать, какая бригада, что должна делать, всё это сообщали через радиоузел.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum_group,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"oksam jästärə̈mə̈kə̈ ... každə̑j ärn'än mä tə̈ oksam šotajen , počtə̑š zdajə̑šašlə̑k ə̑lə̑nna .","Взятые деньги... каждую неделю, пересчитав эти деньги, мы должны были сдавать на почту.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,nünžə̈kšə̈ kogonok pingə̈də̈ lišäšlə̑k agə̑ l .,Тесто не должно быть очень крепким.,NA,NA,šašlə̑k,,predicate,modal,V,necessity,external,instruction (recipe),1,no,yes,nom,inan,present-day,recipes,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"texen'ə̈ , pə̑škə̑də̑rak lišäšlə̑k .","Такое, должно быть помягче.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,external,instruction (recipe),0,no,no,no,inan,present-day,recipes,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,vot anžen šalgə̑mə̑ godə̑m kon'ešnə̑ texen' i ... nə̈nə̈vlä cerkə̈vlä strojə̑šə̑vlä gišän jə̑mə̑ gə̈cə̈n carstvə̑m jadaš mondaš ak kel ,"И конечно, глядя на церковь, мы не должны забывать молиться Господу о царствии небесном для них, строителей церквей.",NA,NA,keläš,,predicate,modal,V,necessity,deontic,deontic,1,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kə̈zə̈tšə̈ tergə̈mäš semə̈ n' tə̑mdə̑šə̑vlä každə̑j kə̑m i vuj gə̈cə̈n ti kursə̑škə̑ kešäšlə̑k ə̑lə̑t , pälə̈mäšə̈štə̈m nə̈nə̈ tə̑mdə̑šə̑vlä kelgemdə̈šäšlə̑k ə̑lə̑t ","По нынешним требованиям учителя каждые три года должны побывать на этих курсах, должны они [учителя] углублять свои знания.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kə̈zə̈tšə̈ tergə̈mäš semə̈n' tə̑mdə̑šə̑vlä každə̑j kə̑m i vuj gə̈cə̈n ti kursə̑škə̑ kešäšlə̑k ə̑lə̑t , pälə̈mäšə̈štə̈m nə̈nə̈ tə̑mdə̑šə̑vlä kelgemdə̈šäšlə̑k ə̑lə̑t ","По нынешним требованиям учителя каждые три года должны побывать на этих курсах, должны они [учителя] углублять свои знания.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kə̈zə̈tšə̈ žepə̈n fə̑gosə̑n tergə̈mə̈ semə̈n' t'et'ävläm ... küvlä fə̑gosə̑n tr'ebovan'i dono tə̑men'ə̈t , projektvläm dä issl'edə̑vat'ə̑l'sk'ij päšävläm ə̈šten mə̑štə̑šašlə̑k ə̑lə̑t ","В настоящее время по требованию ФГОС дети, которые учатся по требованию ФГОС, должны уметь делать проекты и исследовательские работы.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,marə̑ jə̈lmə̈ dono d'iktantə̑m sirät dä lu zadan'im ə̈štə̈šäšlə̑k ə̑lə̑t . ,"По марийскому языку пишут диктант, еще десять заданий должны выполнить.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"d'iktant ... pə̈täri d'iktantə̑m t'et'ävlä sirə̈šäšlə̑k ə̑lə̑t , vara l'istokvläm päšävläštə̈m organ'izatə̑rvlä pogen nälə̈t , vara uže zadan'ivläžə̈ op'at' d'iktantə̑n t'ekst dono kə̈ldältə̈t t'ekstšə̈ uže dä zadan'ivläžə̈ pasna blankvläštə̈ lit , d'iktantšə̑mat pasna blankeš ","Сперва дети должны написать диктант, потом рабочие листки организаторы соберут, потом опять задания по тексту диктанта говорят, а текст и задания уже будут на отдельных бланках, и диктант пишут на отдельных бланках.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"tə̈də̈ äšə̈ndären kolta, tagə̑škə̑ talašə̑šašlə̑k , kešäšlə̑k ə̑leš ","Он вспоминает, куда-то должен спешить, должен идти.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"tə̈də̈ äšə̈ndären kolta , tagə̑škə̑ talašə̑šašlə̑k, kešäšlə̑k ə̑leš ","Он вспоминает, куда-то должен спешить, должен идти.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"a jesl'i pandə̑ dono pet'ungam šin lə̑ktat kvadrat gə̈cə̈n , to orolə̑ mə̈ngeš kə̑čen , pet'ungam värə̈ škə̈žə̈ šə̈ndə̈šäšlə̑k","А если палкой петюнгу выбьешь из квадрата, то караульщик, снова схватив петюнгу, должен поставить ее на место.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"tə̈ veremän ə̈rvezə̈vlä ə̈ške pandə̑štə̑lan ti pol'eštə̈ , ti pol'eškə̈ kə̑rgə̑žə̑t , xvat'at pandə̑štə̑m i l'in'i ves vekə̈ kə̑rgə̑žšašlə̑k ə̑lə̑t ","В это время мальчики за своими палками в этом поле, в это поле бегут, хватают свои палки и должны бежать за другую сторону линии.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,l'in'ejkan razm'eržə̈ kok sant'im'etə̈ r dä pelə̈n kə̑mdə̑kšə̑ lišäšlə̑k ə̑lə̑n . ,"Размер линейки 2,5 см шириной должен был быть.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,external,external,0,no,yes,nom,inan,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"eče jüäš tə̈ngälə̈näm , tožə̑ internetə̈štə̈ malyševam anženäm, značit zdorovje p'er'edačə̑štə̑žə̑ , və̈də̈m jüäš šüdä , každə̑j kečə̈n edemvlä jüšäšlə̑k ə̑lə̑t kok l'itə̈r və̈də̈m. ","Опять начал пить, тоже в интернете смотрел Малышеву, значит, в передаче ""Здоровье"", воду пить велит, каждый день люди",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"sedə̈ndono sola jäl narod keät , uže pälät , kə̑də̑ jär šülə̈šäšlə̑k , orolat .","Поэтому деревенский народ идет, уже знает, что озеро должно дышать, присматриваются.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,internal,internal,0,no,yes,nom,inan,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,rovotajə̑šašlə̑k ə̑leš luat kə̑m edem .,Должны работать 13 человек.,NA,NA,šašlə̑k,,predicate,modal,V,necessity,external,external,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"xozažə̑ pälä gə̈n'ät , kü rojə̑m kə̑čen p'ervə̑j, tə̈də̈ tə̈ mükšvlä tə̈də̈n lišäšlə̑k ə̑lə̑t .","Хотя знает хозяин, кто первый поймал рой, у него и должны быть эти пчёлы.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,animal,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"t'et'ä rovotajə̑šašlə̑k ə̑lə̑n položə̑nnə̑j veremäm , položə̑nnə̑j veremäm , kängə̈žə̈m .","Дети должны были отработать определённое время, положенное время, летом.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"pürežə̈län cilä və̈dšə̈m jöräl koltenä , kukše ... kukšeš kodšašlə̑k .","Для пюре всю воду сливаем, [картошка] остаться сухой должна.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,external,instruction (recipe),0,no,no,no,inan,present-day,recipes,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"mə̈n'ə̈n internetšə̈ b'ezl'im'itnyj , xot' man'arkə̑m käčäjə̈ , n'imaxan' oksa kešäšlə̑k agə̑l.","У меня интернет безлимитный, хоть сколько качай, никакие деньги уходить не должны.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,epistemic,epistemic,1,no,yes,nom,inan,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,""" vot "", - maneš , - "" tä käčäjendä vap internet "", - maneš , - "" a vap internet "", - maneš , - "" traf'ik ə̑leš kogon šergäš , sedə̈ndono tülə̈ šäšlə̑k ə̑lə̑da tə̈žem nə̈l šüdə̈ tängäm "".","""Вот"", - говорит, - ""Вы качали через WAP-интернет"", - говорит, - ""а у WAP-интернета"", - говорит, - ""трафик очень дорогой,
поэтому Вы должны заплатить 1400 рублей"".",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,""" a vot "", - tidə̈ maneš , - "" tä ške "", - maneš , - "" vujnamat ə̑lə̑da , vot ə̈nde tülə̈šäšlə̑k ə̑lə̑da "", - maneš .","
""А вот"", - он говорит, - ""Вы сами"", - говорит, - ""виноваты, вот теперь должны заплатить"", - говорит.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"me , jara , török m'irovoj sud'ja docə̑n , tä tülə̈šäšlə̑k tə̈xen' , tä tülə̈šäšlə̑k ə̑lə̑da tə̈žem nə̈l šüdə̈ tängäm m'egafon op'eratə̑rlan kazan'ə̑škə̑ .","Ладно, сразу от мирового судьи, вы должны заплатить 1400 рублей оператору ""Мегафон"" в Казань.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
